Category,Name,Material,Quantity,TotalLength,TotalArea,TotalVolume
OdIfc2x3::IfcBeam,Glulam (1):100 x 100:100 x 100:215276,,1,6000.0,0.0,58990000.000002
OdIfc2x3::IfcBeam,Glulam (1):100 x 100:100 x 100:215557,,1,6000.0,0.0,58990000.000002
OdIfc2x3::IfcBeam,Glulam (1):100 x 100:100 x 100:215571,,1,6000.0,0.0,58990000.000002
OdIfc2x3::IfcBeam,Glulam (1):100 x 100:100 x 100:215583,,1,6000.0,0.0,58990000.000002
OdIfc2x3::IfcBeam,Glulam (1):100 x 100:100 x 100:215595,,1,6000.0,0.0,58990000.000002
OdIfc2x3::IfcBeam,Glulam (1):20 x 506:20 x 506:276824,,1,27643.0,0.0,279748172.000053
OdIfc2x3::IfcBeam,Glulam (1):20 x 506:20 x 506:276826,,1,30240.0,0.0,306028800.000063
OdIfc2x3::IfcBeam,Glulam (1):20 x 506:20 x 506:276829,,1,4219.0,0.0,42701340.000008
OdIfc2x3::IfcBeam,Glulam (1):95 x 84:95 x 84:276830,,1,30375.0,0.0,242392500.00001
OdIfc2x3::IfcBeam,Glulam (1):95 x 84:95 x 84:276832,,1,4287.0,0.0,34212255.000001
OdIfc2x3::IfcBeam,Glulam (1):95 x 84:95 x 84:276834,,1,27712.0,0.0,221144839.695131
OdIfc2x3::IfcBeam,Glulam (2):135 x 480:135 x 480:339294,,1,4050.0,0.0,257255999.960489
OdIfc2x3::IfcBeam,Glulam (2):135 x 480:135 x 480:339365,,1,4047.940876,0.0,257122568.704658
OdIfc2x3::IfcBeam,Glulam (2):135 x 480:135 x 480:340656,,1,6000.0,0.0,388799999.921005
OdIfc2x3::IfcBeam,Glulam (2):135 x 480:135 x 480:340658,,1,5980.0,0.0,387503999.921005
OdIfc2x3::IfcBeam,Glulam (2):135 x 480:135 x 480:340793,,1,6000.0,0.0,388799999.921005
OdIfc2x3::IfcBeam,Glulam (2):135 x 480:135 x 480:340795,,1,6000.0,0.0,388799999.921005
OdIfc2x3::IfcBeam,Glulam (2):135 x 480:135 x 480:340836,,1,6000.0,0.0,388799999.921005
OdIfc2x3::IfcBeam,Glulam (2):135 x 480:135 x 480:340838,,1,6000.0,0.0,388799999.921005
OdIfc2x3::IfcBeam,Glulam (2):135 x 480:135 x 480:340869,,1,6000.0,0.0,388799999.960507
OdIfc2x3::IfcBeam,Glulam (2):135 x 480:135 x 480:340871,,1,6000.0,0.0,388799999.960507
OdIfc2x3::IfcBeam,Glulam (2):135 x 480:135 x 480:387031,,1,3080.0,0.0,201787134.0806
OdIfc2x3::IfcBeam,Glulam (2):200 x 350:200 x 350:291548,,1,5200.0,0.0,363999999.914662
OdIfc2x3::IfcBeam,Glulam (2):200 x 350:200 x 350:291956,,1,5937.0,0.0,415589999.914656
